date,time,cum_ticks,open,high,low,close,volume,cum_buy_volume,cum_dollar_value
2023-03-03,11:20:15.394,374018,801.5,802.0,800.25,800.5,10002,1361492,1100655113.5
2023-03-03,11:23:33.366,376765,800.5,801.75,800.25,801.5,10002,1371494,1108665982.5
2023-03-03,11:26:39.856,378991,801.5,802.25,801.5,801.75,10000,1381494,1116684476.5
2023-03-03,11:30:24.989,381330,801.75,802.0,800.75,801.75,10000,1391494,1124698742.75
2023-03-03,11:32:35.035,383289,801.5,802.25,801.25,801.5,10000,1401494,1132716927.0
2023-03-03,11:37:53.004,385835,801.5,801.5,800.5,800.75,10000,1411494,1140727959.25
2023-03-03,11:41:53.148,388212,800.75,801.75,800.25,800.25,10011,1421505,1148746384.25
2023-03-03,11:43:33.082,390505,800.25,800.75,799.5,800.5,10011,1431516,1156756544.5
2023-03-03,11:46:49.649,392589,800.5,800.5,799.5,799.5,10000,1441516,1164756525.0
2023-03-03,11:47:14.902,395029,799.5,799.5,798.25,798.5,10011,1451527,1172753794.0
2023-03-03,11:48:00.480,396644,798.5,799.0,798.25,798.5,10008,1461535,1180745869.75
2023-03-03,11:49:52.097,399075,798.5,799.0,797.75,798.75,10002,1471537,1188730477.0
2023-03-03,11:54:21.731,401840,798.75,799.25,798.25,798.75,10004,1481541,1196722524.75
2023-03-03,11:58:46.296,404090,798.75,799.25,797.75,797.75,10318,1491859,1204962587.75
2023-03-03,12:00:36.835,406890,797.75,798.0,796.75,797.0,10016,1501875,1212950004.0
2023-03-03,12:03:27.875,409358,797.0,797.5,796.75,797.0,10000,1511875,1220920907.0
2023-03-03,12:05:03.190,411404,797.0,797.5,796.0,796.25,10065,1521940,1228939148.5
2023-03-03,12:06:48.997,413480,796.25,797.25,796.0,797.25,10005,1531945,1236910020.25
2023-03-03,12:10:36.347,416466,797.25,798.75,797.0,798.5,10035,1541980,1244916792.5
2023-03-03,12:12:40.669,418687,798.5,799.25,798.25,799.0,10001,1551981,1252906434.75
2023-03-03,12:16:31.068,421376,799.0,799.5,798.0,798.25,10009,1561990,1260901010.0
2023-03-03,12:19:53.290,423958,798.25,798.5,796.75,797.0,10001,1571991,1268879279.5
2023-03-03,12:22:00.586,426445,797.0,797.5,796.5,796.5,10000,1581991,1276847838.75
